受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020/1/30,170003,石川県,,34
2020/1/31,170003,石川県,,74
2020/2/1,170003,石川県,,0
2020/2/2,170003,石川県,,0
2020/2/3,170003,石川県,,76
2020/2/4,170003,石川県,,57
2020/2/5,170003,石川県,,44
2020/2/6,170003,石川県,,30
2020/2/7,170003,石川県,,41
2020/2/8,170003,石川県,,0
2020/2/9,170003,石川県,,0
2020/2/10,170003,石川県,,27
2020/2/11,170003,石川県,,0
2020/2/12,170003,石川県,,32
2020/2/13,170003,石川県,,19
2020/2/14,170003,石川県,,47
2020/2/15,170003,石川県,,0
2020/2/16,170003,石川県,,0
2020/2/17,170003,石川県,,76
2020/2/18,170003,石川県,,82
2020/2/19,170003,石川県,,74
2020/2/20,170003,石川県,,62
2020/2/21,170003,石川県,,236
2020/2/22,170003,石川県,,0
2020/2/23,170003,石川県,,0
2020/2/24,170003,石川県,,0
2020/2/25,170003,石川県,,1472
2020/2/26,170003,石川県,,375
2020/2/27,170003,石川県,,386
2020/2/28,170003,石川県,,296
2020/2/29,170003,石川県,,0
2020/3/1,170003,石川県,,0
2020/3/2,170003,石川県,,534
2020/3/3,170003,石川県,,220
2020/3/4,170003,石川県,,184
2020/3/5,170003,石川県,,147
2020/3/6,170003,石川県,,182
2020/3/7,170003,石川県,,0
2020/3/8,170003,石川県,,0
2020/3/9,170003,石川県,,321
2020/3/10,170003,石川県,,180
2020/3/11,170003,石川県,,109
2020/3/12,170003,石川県,,97
2020/3/13,170003,石川県,,122
2020/3/14,170003,石川県,,0
2020/3/15,170003,石川県,,0
2020/3/16,170003,石川県,,213
2020/3/17,170003,石川県,,117
2020/3/18,170003,石川県,,139
2020/3/19,170003,石川県,,117
2020/3/20,170003,石川県,,0
2020/3/21,170003,石川県,,0
2020/3/22,170003,石川県,,0
2020/3/23,170003,石川県,,279
2020/3/24,170003,石川県,,88
2020/3/25,170003,石川県,,104
2020/3/26,170003,石川県,,113
2020/3/27,170003,石川県,,131
2020/3/28,170003,石川県,,0
2020/3/29,170003,石川県,,0
2020/3/30,170003,石川県,,403
2020/3/31,170003,石川県,,276
2020/4/1,170003,石川県,,412
2020/4/2,170003,石川県,,432
2020/4/3,170003,石川県,,428
2020/4/4,170003,石川県,,0
2020/4/5,170003,石川県,,0
2020/4/6,170003,石川県,,1288
2020/4/7,170003,石川県,,560
2020/4/8,170003,石川県,,570
2020/4/9,170003,石川県,,511
2020/4/10,170003,石川県,,437
